"label","type","author","title","journal","year","volume","pages","doi","note","url","abstract","document_type","source","number","art_number","screened_abstracts","notes"
"Tattersall2016","ARTICLE","Tattersall, G.J. and Roussel, D. and Voituron, Y. and Teulier, L.","Novel energy-saving strategies to multiple stressors in birds: The ultradian regulation of body temperature","Proceedings of the Royal Society B: Biological Sciences","2016","283",NA,"10.1098/rspb.2016.1551","cited By 9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989160117&doi=10.1098%2frspb.2016.1551&partnerID=40&md5=f471df0e3432e2bea86111a25010d374","This study aimed to examine thermoregulatory responses in birds facing two commonly experienced stressors, cold and fasting. Logging devices allowing long-term and precise access to internal body temperature were placed within the gizzards of ducklings acclimated to cold (CA) (5C) or thermoneutrality (TN) (25C). The animals were then examined under three equal 4-day periods: ad libitum feeding, fasting and re-feeding. Through the analysis of daily as well as short-term, or ultradian, variations of body temperature, we showed that while ducklings at TN show only a modest decline in daily thermoregulatory parameters when fasted, they exhibit reduced surface temperatures from key sites of vascular heat exchange during fasting. The CA birds, on the other hand, significantly reduced their short-term variations of body temperature while increasing long-term variability when fasting. This phenomenon would allow the CA birds to reduce the energetic cost of body temperature maintenance under fasting. By analysing ultradian regulation of body temperature, we describe a means by which an endotherm appears to lower thermoregulatory costs in response to the combined stressors of cold and fasting.  2016 The Author(s) Published by the Royal Society. All rights reserved.","Article","Scopus","1839","20161551","excluded",""
"Chen2011525","ARTICLE","Chen, Y. and Wang, R. and Zhou, J. and Fan, H. and Shi, B.","On-demand drug delivery from temperature-responsive polyurethane membrane","Reactive and Functional Polymers","2011","71","525-535","10.1016/j.reactfunctpolym.2011.01.010","cited By 26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951571548&doi=10.1016%2fj.reactfunctpolym.2011.01.010&partnerID=40&md5=8dc0fd443a17c1daa0538fc7a4605b74","To provide on-demand therapeutics to diseased site where local and intermittent drug delivery was desirable, temperature-responsive polyurethane (TRPU) which enabled rapid, reproducible and tunable on-off switching release of incorporated drugs was successfully prepared. Differential scanning calorimetric analysis revealed that the TRPU synthesized in this study exhibited segmented structure with partially-miscible fixed phase and reversible phase, which favorably imparted the TRPU a physiologically-tolerable switching temperature at 44 C. Positron annihilation lifetime spectroscopy demonstrated that, as the TRPU underwent sharp phase transition upon heating through 44 C, the free volume size and fraction within the polymeric matrix expanded dramatically. Based on such discontinuous free volume change, the diffusion of incorporated antibiotic (sulfamethoxazole) and anticancer drug (paclitaxel) from TRPU membrane could be switched off below normal physiological temperature (37 C) while switched on by heating to 44 C, resulting in high on-off ratios. In addition, the TRPU membrane could be thermally-switched on and off rapidly, within less than 5 min after temperature variation, and reproducibly, over four cycles of temperature oscillation between 37 C and 44 C. Furthermore, the amount of drug released during each on state was found to be proportional to the duration of heating. In cell culture assays, the TRPU membrane exhibited no cytotoxicity towards C2C12 myoblasts, 3T3 fibroblasts, Me-T mesothelials and J.1774 macrophages. Compared with ordinary biomedical polyurethane elastomer that delivered drugs at almost constant rate regardless of temperature variation, the TRPU prepared in this study showed great potential for developing biomedical implant which could provide temperature-modulated therapeutics to diseased site.  2011 Elsevier Ltd. All rights reserved.","Article","Scopus","4",NA,"excluded",""
"Zhang2010650","ARTICLE","Zhang, H.-D. and He, Y. and Wang, X. and Shao, H.-W. and Mu, L.-Z. and Zhang, J.","Dynamic infrared imaging for analysis of fingertip temperature after cold water stimulation and neurothermal modeling study","Computers in Biology and Medicine","2010","40","650-656","10.1016/j.compbiomed.2010.05.003","cited By 16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954758094&doi=10.1016%2fj.compbiomed.2010.05.003&partnerID=40&md5=cc5a09436ddf552efe74697f7ffa27e5","The human hand is considered to be the terminus of the nervous system. It contains numerous capillary vessels, and it plays an important role in the regulation of the autonomic nervous system.We have used infrared thermography and ultrasound Doppler flowmetry to investigate characteristics of the temperature variation of the hand and the blood flow after cold stimuli. We have also developed an image processing algorithm to measure temperature of various parts of the hand via sequential thermal images. Measured results show that local cold stimuli will induce oscillation of temperature, which may be due to neuroregulation during rewarming. Finally, in order to explain the mechanism of autonomic nervous system (ANS) regulation we have developed an ANS regulation model on the basis of the knowledge of the physiology and bioheat transfer. The results computed using our model are in good agreement with the experimental results.  2010 Elsevier Ltd.","Article","Scopus","7",NA,"excluded",""
"Weidmann2017","CONFERENCE","Weidmann, F.","Insulating sandwich housing structures for the thermal management of battery packs","2017 12th International Conference on Ecological Vehicles and Renewable Energies, EVER 2017","2017",NA,NA,"10.1109/EVER.2017.7935955","cited By 0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021376883&doi=10.1109%2fEVER.2017.7935955&partnerID=40&md5=821cc0a57aaa2923cf20d03de502fa49","Modern electric vehicle battery thermal management systems provide sophisticated means to control the temperature of its battery cells within the optimal temperature range. This is crucial as Lithium-Ion battery cells result in reduced lifespans if exposed to temperatures above 50C. On the other hand, temperatures below 10C lead to a reduced capacity and with respect to electric vehicles in reduced driving ranges. The OPTEMUS project therefore develops a thermal insulating battery module housing that thermally disconnects the battery cells from the ambient temperature, providing a more stable temperature profile and more efficient thermal management of the battery. Different housing materials and designs have been developed to provide thermal insulating properties while also withstanding mechanical forces. Based on a concept module design of Fraunhofer LBF, two different fiber reinforced plastic sandwich structures have been manufactured with insulating foam cores and analyzed with respect to their cellular structures and resulting thermal properties. The cellular structure was detected three-dimensionally via computer tomography analysis. The manufactured sub-module housings were tested in a climatic chamber at-10C and compared to a benchmark housing design based on aluminum as construction material. Results showed that the cell temperatures decrease 250 to 400 % slower using foam core sandwich structures as housing material compared to an aluminum housing while providing large scale manufacturability via the injection molding process.  2017 IEEE.","Conference Paper","Scopus",NA,"7935955","excluded",""
"Tapia2014","ARTICLE","Tapia, F.J. and Largier, J.L. and Castillo, M. and Wieters, E.A. and Navarrete, S.A.","Latitudinal discontinuity in thermal conditions along the nearshore of central-northern Chile","PLoS ONE","2014","9",NA,"10.1371/journal.pone.0110841","cited By 62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908179388&doi=10.1371%2fjournal.pone.0110841&partnerID=40&md5=a1d9045aacb567f642c4ed3c66675058","Over the past decade, evidence of abrupt latitudinal changes in the dynamics, structure and genetic variability of intertidal and subtidal benthic communities along central-northern Chile has been found consistently at 30-32S. Changes in the advective and thermal environment in nearshore waters have been inferred from ecological patterns, since analyses of in situ physical data have thus far been missing. Here we analyze a unique set of shoreline temperature data, gathered over 4- 10 years at 15 sites between 28-35S, and combine it with satellite-derived winds and sea surface temperatures to investigate the latitudinal transition in nearshore oceanographic conditions suggested by recent ecological studies. Our results show a marked transition in thermal conditions at 30-31S, superimposed on a broad latitudinal trend, and smallscale structures associated with cape-and-bay topography. The seasonal cycle dominated temperature variability throughout the region, but its relative importance decreased abruptly south of 30-31S, as variability at synoptic and intra-seasonal scales became more important. The response of shoreline temperatures to meridional wind stress also changed abruptly at the transition, leading to a sharp drop in the occurrence of low-temperature waters at northern sites, and a concurrent decrease in corticated algal biomass. Together, these results suggest a limitation of nitrate availability in nearshore waters north of the transition. The localized alongshore change results from the interaction of latitudinal trends (e.g., wind stress, surface warming, inertial period) with a major headland-bay system (Punta Lengua de Vaca at 30.25S), which juxtaposes a southern stretch of coast characterized by upwelling with a northern stretch of coast characterized by warm surface waters and stratification. This transition likely generates a number of latitude-dependent controls on ecological processes in the nearshore that can explain species-specific effects, and add strength to the suggestion of an oceanography-driven, major spatial transition in coastal communities at 30-31S. Copyright:  2014 Tapia et al.","Article","Scopus","10","e110841","excluded",""
"Jia201819","ARTICLE","Jia, W. and Chen, Y. and Zhang, J. and Li, C. and Wang, Q. and Li, G. and Yang, W.","Response of greenhouse gas emissions and microbial community dynamics to temperature variation during partial nitrification","Bioresource Technology","2018","261","19-27","10.1016/j.biortech.2018.03.137","cited By 11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045580566&doi=10.1016%2fj.biortech.2018.03.137&partnerID=40&md5=6ee6af5456a182d4c63814ee8b78b898","This study investigated the greenhouse gas emission characteristics and microbial community dynamics with the variation of temperature during partial nitrification. Low temperature weakened nitrite accumulation, and partial nitrification would shift to complete nitrification easily at 15 C. Based on CO2 equivalents (CO2-eq), partial nitrification process released 2.7 g of greenhouse gases per gMLSS per cycle, and N2O accounted for more than 98% of the total CO2-eq emission. The total CO2-eq emission amount at 35 C was 45.6% and 153.4% higher than that at 25 C and 15 C, respectively. During partial nitrification, the microbial community diversity greatly declined compared with seed sludge. However, the diversity was enhanced at low temperature. The abundance of Betaproteobacteria at class level increased greatly during partial nitrification. Proteobacteria abundance declined while Nitrospira raised at low temperature. The nosZ community abundance was not affected by temperature, although N2O emission was varied with the operating temperature.  2018 Elsevier Ltd","Article","Scopus",NA,NA,"selected",""
"Kjrsgaard20131069","ARTICLE","Kjrsgaard, A. and Pertoldi, C. and Loeschcke, V. and Blanckenhorn, W.U.","The effect of fluctuating temperatures during development on fitness-related traits of Scatophaga stercoraria (Diptera: Scathophagidae)","Environmental Entomology","2013","42","1069-1078","10.1603/EN13074","cited By 29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886065114&doi=10.1603%2fEN13074&partnerID=40&md5=240888ce96e4dd2f54642b3b36e1ef15","Development of ectotherms is highly temperature dependent. Studies using variable thermal environments can improve ecological relevance of data because organisms naturally face day-to-day stochastic temperature fluctuations as well as seasonal changes in the amplitude of such daily fluctuations. The objective of this study was to investigate if, and to what extent, the use of constant temperatures is justified in studies of the model species, yellow dung fly, Scatophaga stercoraria (L.). We examined the effect of temperature fluctuation on the expression of several life history traits and the effect on subsequent adult longevity. We used two fluctuating temperature treatments with the same mean but different amplitudes (15/21C, 12/24C; 12/12 h), and three constant temperature treatments spanning the wide temperature range faced in the wild (12, 18, and 24C). Large temperature fluctuation was mostly detrimental (lower juvenile survival, slower growth, smaller body size, and longer development), whereas moderate temperature fluctuation usually gave responses similar to the constant regime. When developing in fluctuating temperatures, adult longevity (no effect), body size (lower), and wing shape (narrower wings) deviated from the expectations based on the constant temperature reaction norms, presumably because of acclimation responses. Contrary to some studies no obvious beneficial effects of moderate temperature fluctuation were observed. Instead, yellow dung flies seem to canalize development in the face of temperature fluctuation up to a point when detrimental effects become unavoidable. The relatively greater effects of extreme constant developmental temperatures question their biological relevance in experiments.  2013 Entomological Society of America.","Article","Scopus","5",NA,"selected",""
"Francis201317","ARTICLE","Francis, S.V. and Sasikala, M.","Automatic detection of abnormal breast thermograms using asymmetry analysis of texture features","Journal of Medical Engineering and Technology","2013","37","17-21","10.3109/03091902.2012.728674","cited By 30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871917460&doi=10.3109%2f03091902.2012.728674&partnerID=40&md5=bf5e1364ba32dc1aa91e0969e753dba3","Thermography is a non-invasive imaging modality that represents surface temperature variations of the skin in the form of images called thermograms. The surface temperature around the area of cancerous cells is slightly higher than normal tissues and this area is seen as hot spots on thermograms. In normal breast thermograms, symmetric heat patterns are observed in both breasts, but in the case of unilateral abnormality, asymmetry is observed. As the intensity variations in thermograms represent surface temperature changes, texture features that would enhance thermal asymmetry, between right and left breasts, have been studied. The texture features are extracted from the breast region and fed to a back propagation neural network for automatic detection of abnormal breast thermograms. The classifier is able to classify abnormal and normal thermograms with an accuracy of 85.19%. From the results of the study, it is inferred that thermography has the potential to detect breast cancer and can be used as an adjunct tool to mammography.  2013 Informa UK, Ltd.","Article","Scopus","1",NA,"excluded",""
"Sinclair20161372","ARTICLE","Sinclair, B.J. and Marshall, K.E. and Sewell, M.A. and Levesque, D.L. and Willett, C.S. and Slotsbo, S. and Dong, Y. and Harley, C.D.G. and Marshall, D.J. and Helmuth, B.S. and Huey, R.B.","Can we predict ectotherm responses to climate change using thermal performance curves and body temperatures?","Ecology Letters","2016","19","1372-1385","10.1111/ele.12686","cited By 284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011586067&doi=10.1111%2fele.12686&partnerID=40&md5=05353b95a3dcee7ead304c93d83e447d","Thermal performance curves (TPCs), which quantify how an ectotherm's body temperature (Tb) affects its performance or fitness, are often used in an attempt to predict organismal responses to climate change. Here, we examine the key  but often biologically unreasonable  assumptions underlying this approach; for example, that physiology and thermal regimes are invariant over ontogeny, space and time, and also that TPCs are independent of previously experienced Tb. We show how a critical consideration of these assumptions can lead to biologically useful hypotheses and experimental designs. For example, rather than assuming that TPCs are fixed during ontogeny, one can measure TPCs for each major life stage and incorporate these into stage-specific ecological models to reveal the life stage most likely to be vulnerable to climate change. Our overall goal is to explicitly examine the assumptions underlying the integration of TPCs with Tb, to develop a framework within which empiricists can place their work within these limitations, and to facilitate the application of thermal physiology to understanding the biological implications of climate change.  2016 John Wiley & Sons Ltd/CNRS","Review","Scopus","11",NA,"selected",""
"Khan2016","CONFERENCE","Khan, M.R. and Kaer, S.K.","Multiphysics based thermal modeling of a pouch lithium-ion battery cell for the development of pack level thermal management system","2016 11th International Conference on Ecological Vehicles and Renewable Energies, EVER 2016","2016",NA,NA,"10.1109/EVER.2016.7476442","cited By 5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974628252&doi=10.1109%2fEVER.2016.7476442&partnerID=40&md5=eb4628a81c4a5e1a05239cdec1669a80","The research is focused on the development of a three-dimensional cell level multiphysics battery thermal model. The primary aim is to represent the cooling mechanism inside the unit cell battery pack. It is accomplished through the coupling of heat transfer and computational fluid dynamics (CFD) physics. A lumped value of heat generation (HG) inside the battery cell is used. It stems from isothermal calorimeter experiment. HG depends on current rate and the corresponding operating temperature. It is demonstrated that the developed model provides a deeper understanding of the thermal spatiooral behavior of Li-ion battery in different operating conditions.  2016 IEEE.","Conference Paper","Scopus",NA,"7476442","excluded",""
