label,author,title,journal,doi,year,abstract,issn,journal_secondary,volume,issue,pages,institution,url,ea,ei,pm,pt,ri,tc,ut,z8,z9,za,zb,zr,zs,ar,oi,pd,z2,be,bn,cl,ct,pn,se,z4,s1,ho,si,ca,ma,su,gp,ft,ak,z1,x1,y4,citation,screened_titles,notes
Beck_2004_PHYA.SMECANDITSAPP,"Beck, C and Cohen, EGD",Superstatistical generalization of the work fluctuation theorem,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,10.1016/j.physa.2004.06.001,2004,"We derive a generalized version of the work fluctuation theorem for non-equilibrium systems with spatio-temporal temperature fluctuations. For chi(2)-distributed inverse temperature, we obtain a generalized fluctuation theorem based on q-exponentials, whereas for other temperature distributions more complicated formulae arise. Since q-exponentials have a power law decay, the decay rate in this generalized fluctuation theorem is much slower than the conventional exponential decay. This implies that work fluctuations can be of relevance for the design of micro- or nano-structures, since the work done on the system is relatively much larger than in the conventional fluctuation theorem. (C) 2004 Elsevier B.V. All rights reserved.",0378-4371,NA,344,4-Mar,393-402-CBPF; CNPq; Finep; Faperj,"NOV 19-21, 2003",NA,NA,NA,NA,J,NA,45,WOS:000225129100006,1,45,0,2,0,0,NA,NA,DEC 15 2004,NA,NA,NA,"Angra dos Reis, BRAZIL",INternational Workshop on Trends and Perspectives in Extensive and and Non-Extensive Statistical Mechanics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Superstatistical Generalization of the Work Fluctuation Theorem.,excluded,NA
Napiorkowska_2017_PAJOOFZO,"Napiorkowska, Teresa and Templin, Julita",Bicephality in Eratigena atrica Larva,PAKISTAN JOURNAL OF ZOOLOGY,10.17582/journal.pjz/2017.49.6.sc6,2017,"The study contains a detailed description of a larva of the Eratigena atrica spider, which had a well developed prosoma and an additional, partly developed head with two segmented pedipalps and one chelicera with two fangs. The larva was obtained as a result of a teratological experiment based on the application of temperatures of 14 and 32 degrees C changed every 12 h for the first ten days of spider embryogenesis.",0030-9923,NA,49,6,2339-2341,NA,NA,NA,NA,NA,J,"Templin, Julita/O-3939-2015; Napiorkowska, Teresa/G-8883-2014",1,WOS:000424964600052,0,1,0,1,0,0,NA,"Templin, Julita/0000-0002-1484-0356; Napiorkowska, and Teresa/0000-0003-3696-6715",Dec-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bicephality in Eratigena Atrica Larva.,excluded,NA
Kamardin_2011_Oaio_1,"Kamardin, .p. and Kokhanenko, G.p. and Nevzorova, I.v. and Penner, I.e.",Joint lidar and sodar investigations of the atmospheric boundary layers. ,Optika atmosfery i okeana,NA,2011,"Using the LOSA-S lidar and three-channel Doppler Volna-4 sodar, we performed joint observations of the altitude-temporal transformation of aerosol concentration and structure of temperature-wind field. Data are obtained on the co-ordination or differences in the dynamics of aerosol concentration at different altitudes at daytime and the processes of convective heat exchange in the atmospheric boundary layer.",0869-5695,NA,24,6,538-546,NA,NA,NA,NA,NA,J,NA,0,RSCI:16401953,0,0,0,0,0,0,NA,NA,2011,", and , and , and ,",NA,NA,NA,NA,NA,NA,"2010 . and , and . and  and . and - and , and -2009. and , and 2010 .      2  ,   2009 . and .    2010 . and - and 2009 .   . and  and  and .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joint Lidar and Sodar Investigations of the Atmospheric Boundary Layers. .,excluded,NA
Bolshukhin_2014_OptInsandDatPro,"Bolshukhin, M.A. and Znamenskaya, I.A. and Sveshnikov, D.N. and Fomichev, V.I.",THERMOGRAPHIC STUDY OF TURBULENT WATER PULSATIONS IN NONISOTHERMAL MIXING ,"Optoelectronics, Instrumentation and Data Processing",NA,2014,"The possibilities of using thermography for quantitative studies of the frequency characteristics of the nonisothermal water pulsations near the vessel walls transparent to infrared radiation are analyzed. Thermographic studies of the temperature dynamics in the contact zone of a nonisothermal liquid with the wall were performed using simple models. Frequencies of temperature fluctuations at the inner surface of the vessel through the wall transparent to infrared radiation were measured using a thermal imager with accurate focusing of the lens. Spectral curves of the fluctuations were constructed with the use of a Fourier transform. It is shown that Kolmogorov spectra (-5/3 law) are present in the nonisothermal flow in a T-junction channel, allowing the process to be characterized as developed turbulence of the water flow in the region of the boundary layer adjacent to the window. , . . , -, . . ( -5/3) , , .",0320-7102,NA,50,5,75-83,NA,NA,NA,NA,NA,J,NA,2,RSCI:22511711,0,3,0,0,1,0,NA,NA,2014,", and , and , and ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thermographic Study of Turbulent Water Pulsations in Nonisothermal Mixing .,excluded,NA
YouLiu_2013_MTAEEP1A2,YouLiu and JingjingLiu and XiaoChen,Study on Unsteady Temperature Field of Diesel Engine Piston,"MATERIALS, TRANSPORTATION AND ENVIRONMENTAL ENGINEERING, PTS 1 AND 2",10.4028/www.scientific.net/AMR.779-780.965,2013,"The paper took the piston of 620 single-cylinder engine as an example,a finite element model of piston was built with the help of ANSYS software. Than to calculate temperature field and and quick cold start conditions respectively([1]). Through the periodic transient thermal analysis, temperature fluctuations on the surface of the piston were derived, which indicated that the surface contacted with gas was the main temperature fluctuation area. The max temperature fluctuation can be up to 20 degrees C and the wild fluctuation occurred in a distance of 2 mm from the surface of the piston. Temperatures of the piston went up according to exponential rule during the course of quick cold start, Extreme temperature fluctuations will generate huge quasi-static thermal stress.",1022-6680,NA,779-780,NA,"965-970-Natl Chi Nan Univ, ChienKuo Technol Univ; Control Engn & Informat Sci-Natl Chin Yi Univ Technol; Natl Cheng Kung Univ; Natl Sun Yan Sen Univ;-Res Assoc; Int Frontiers Sci & Technol Res Assoc; Trans Tech Publicat","AUG 21-23, 2013",NA,NA,NA,NA,S,NA,0,WOS:000336106300187,0,0,0,0,0,0,NA,NA,2013,NA,"Kao, JCM and Sung, WP and Chen, R",978-3-03785-804-2,"Taichung, TAIWAN","International Conference on Materials, Transportation and Environmental and Engineering (CMTEE 2013)",NA,Advanced Materials Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Study on Unsteady Temperature Field of Diesel Engine Piston.,excluded,NA
Guo.Zhouchao_2017_JOOFTHSC,Guo Zhouchao and Lu Tao and Liu Bo,Inverse Heat Conduction Estimation of Inner Wall Temperature Fluctuations under Turbulent Penetration,JOURNAL OF THERMAL SCIENCE,10.1007/s11630-017-0925-8,2017,"Turbulent penetration can occur when hot and cold fluids mix in a horizontal T-junction pipe at nuclear plants. Caused by the unstable turbulent penetration, temperature fluctuations with large amplitude and high frequency can lead to time-varying wall thermal stress and even thermal fatigue on the inner wall. Numerous cases, however, exist where inner wall temperatures cannot be measured and only outer wall temperature measurements are feasible. Therefore, it is one of the popular research areas in nuclear science and engineering to estimate temperature fluctuations on the inner wall from measurements of outer wall temperatures without damaging the structure of the pipe. In this study, both the one-dimensional (1D) and the two-dimensional (2D) inverse heat conduction problem (IHCP) were solved to estimate the temperature fluctuations on the inner wall. First, numerical models of both the 1D and the 2D direct heat conduction problem (DHCP) were structured in MATLAB, based on the finite difference method with an implicit scheme. Second, both the 1D IHCP and the 2D IHCP were solved by the steepest descent method (SDM), and the DHCP ""results of temperatures on the outer wall were used to estimate the temperature fluctuations on the inner wall. Third, we compared the temperature fluctuations on the inner wall estimated by the 1D IHCP with those estimated by the 2D IHCP in four cases: (1) when the maximum disturbance of temperature of fluid inside the pipe was 3 degrees C, (2) when the maximum disturbance of temperature of fluid inside the pipe was 30 degrees C, (3) when the maximum disturbance of temperature of fluid inside the pipe was 160 degrees C, and (4) when the fluid temperatures inside the pipe were random from 50 degrees C to 210 degrees C.",1003-2169,NA,26,2,160-165,NA,NA,NA,1993-033X,NA,J,NA,1,WOS:000395723200010,0,1,0,1,0,0,NA,NA,MAR-APR 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inverse Heat Conduction Estimation of Inner Wall Temperature Fluctuations under Turbulent Penetration.,excluded,NA
ZOZ_1994_IEEPRO,"ZOZ, J and BARABAS, U",LINEWIDTH ENHANCEMENT IN LASER-DIODES CAUSED BY TEMPERATURE-FLUCTUATIONS,IEE PROCEEDINGS-OPTOELECTRONICS,10.1049/ip-opt:19941084,1994,"In the work, the temperature noise of laser diodes caused by photon and carrier fluctuations is investigated. Therefore, the temperature generating mechanisms are considered, and temperature effects are introduced into the rate equations. The temperature noise results in an increased frequency noise, a broadened linewidth and a linewidth floor at high optical power. To reduce this effect, the thermal resistance and the thermal cutoff frequency must be minimised.",1350-2433,NA,141,3,191-194,NA,NA,NA,NA,NA,J,NA,7,WOS:A1994NZ55900009,0,7,NA,0,0,0,NA,NA,Jun-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linewidth Enhancement in Laser-Diodes Caused by Temperature-Fluctuations.,excluded,NA
Gorelskii_2012_VTguMim,"Gorelskii, Vasiliy Alexceevich and Zhiltsov, Konstantin Nikolaevich",Investigation of peat ignition due to temperature fluctuations ,Vestnik Tomskogo gosudarstvennogo universiteta. Matematika i mekhanika,NA,2012,The problem of the onset thermal explosion in the peat-soil as affected by time-periodic ambient temperature variations with chemical reactions has been investigated. The main purpose of the investigation was to examine the degree of the influence of annual and daily temperature fluctuations on the occurrence of thermal explosion. . - .,1998-8621,NA,NA,3,49-54,NA,NA,NA,NA,NA,J,NA,1,RSCI:18066408,0,1,0,0,0,0,NA,NA,2012,", and ,",NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investigation of Peat Ignition Due to Temperature Fluctuations .,excluded,NA
Kumar_2000_PROFPH,"Kumar, R and Saha, SK",Measurement of temperature fluctuations and anomalous transport in the SINP tokamak,PRAMANA-JOURNAL OF PHYSICS,10.1007/s12043-000-0037-x,2000,Temperature fluctuations have been measured in the edge region of the SINP tokamak. We find that these fluctuations have a comparatively high level (30-40%) and a broad spectrum. The temperature fluctuations show a quite high coherence with density and potential fluctuations and contribute considerably to the anomalous particle flux.,0304-4289,NA,55,6-May,713-718-Plasma Sci Soc India; CSIR; DST; DAE; IIGM; MIT; AICTE; SINP,"DEC 21-24, 1999",NA,NA,NA,NA,J,NA,1,WOS:000166228800009,0,1,0,0,0,0,NA,NA,NOV-DEC 2000,NA,NA,NA,"GURU NANAK DEV UNIV, AMRITSAR, INDIA",14th Natioal Symposium on Plasma Science and technology (Plasma-99),NA,NA,NA,NA,GURU NANAK DEV UNIV,SI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Measurement of Temperature Fluctuations and Anomalous Transport in the Sinp Tokamak.,excluded,NA
Bowden_2018_PHYS,"Bowden, Rachel M. and Paitz, Ryan T.",Temperature fluctuations and maternal estrogens as critical factors for understanding temperature-dependent sex determination in nature,PHYSIOLOGY,10.1002/jez.2183,2018,"Vertebrates with temperature-dependent sex determination (TSD) have justifiably received a lot of attention when it comes to the potential effects of climate change. Freshwater turtles have long been used to characterize the physiological and genetic mechanisms underlying TSD and provide a great system to investigate how changing climatic conditions will affect vertebrates with TSD. Unfortunately, most of what we know about the mechanisms underlying TSD comes from laboratory conditions that do not accurately mimic natural conditions (i.e., constant incubation temperatures and supraphysiological steroid manipulations). In this paper, we review recent advances in our understanding of how TSD operates in nature that arose from studies using more natural fluctuating incubation temperatures and natural variation in maternal estrogens within the yolk. By incorporating more natural conditions into laboratory studies, we are better able to use these studies to predict how changing climatic conditions will affect species with TSD.",2471-5638,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE,329,5-Apr,177-184,NA,NA,NA,2471-5646,29806743,J,"Paitz, Ryan T/A-8308-2008",3,WOS:000444678500003,0,4,0,2,0,1,NA,"Paitz, Ryan T/0000-0003-4609-4359",APR-JUN 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperature Fluctuations and Maternal Estrogens as Critical Factors for Understanding Temperature-Dependent Sex Determination in Nature.,selected,NA
