label,author,title,journal,doi,year,abstract,citation,screened_titles,notes,screened_abstracts
Bozinovic_2013_EVOLECOLRESE,"Bozinovic, Francisco and Catalan, Tamara P. and Estay, Sergio A. and Sabat, Pablo",Acclimation to daily thermal variability drives the metabolic performance curve,EVOLUTIONARY ECOLOGY RESEARCH,NA,2013,"Background: Among the predictions of the effect of future climate change, the impact of thermal conditions at local levels on the physiological performance of individuals and their acclimation capacities is key to understanding animals' responses to global warming. Goal: Test for the effect of acclimation to environmental thermal variability, namely 24 +/- 0 degrees C, 24 +/- 4 degrees C, and 24 +/- 8 degrees C, on the metabolic performance curve in the mealworm beetle Tenebrio molitor. Results: Maximum resting metabolism and metabolic breadth were significantly different, but optimal temperature was similar, between treatments. Thus, increases in ambient thermal variability caused a reduction in maximum performance at each level of acclimation, with a decrease of almost 50% between the nil variability and +/- 8 degrees C daily variability treatments. Conclusions: If thermal variability changes in any of the directions forecast by climatologists, ecologists will have to use mechanistic and modelling approaches based on physiological and biophysical traits to predict the biodiversity consequences of climate change.",Acclimation to Daily Thermal Variability Drives the Metabolic Performance Curve.,selected,NA,selected
Bozinovic_2016_EVOLECOLRESE,"Bozinovic, Francisco and Sabat, Pablo and Rezende, Enrico L. and Canals, Mauricio","Temperature variability and thermal performance in ectotherms: acclimation, behaviour, and experimental considerations",EVOLUTIONARY ECOLOGY RESEARCH,NA,2016,"Background: Among the predictions of the effect of future climate change, the impact of thermal conditions at local levels on the performance of individuals and their acclimation capacities is key to understanding animals' responses to global warming. Woodlice (the terrestrial isopod Porcellio laevis) exhibit a readily observed behaviour that may reflect their acclimation capacities. When they find themselves on their back, they sometimes roll over (i.e. right themselves). Whether they do, and how fast they do it, are measures of their behaviour and performance that vary with ambient temperature. Goal: Measure experimentally the effect of acclimation to environmental thermal variability on the rollover behaviour of Porcellio laevis. Methods: Maintain woodlice in 24 degrees C laboratory environments. Each individual lived in one of three thermal treatments: constant temperature regime (delta = 0); a regime with alternating temperatures of 27 degrees C during daytime and 21 degrees C at night (delta = 3); and a regime with alternating temperatures of 32 degrees C during daytime and 16 degrees C at night (delta = 8). After 3 months, measure the rollover behaviour (percentage that rolled over) and rollover speed of the woodlice at 5, 15, 25, 32, and 38 degrees C. Rollover speed is the inverse of the time it took an individual to right itself. Results: At 5 and 38 degrees C, most woodlice seemed to be in thermal coma and had very slow rollover speed. At 15, 25, and 32 degrees C, rollover speed was in the range 0.12-0.18 rollovers per second. At 15, 25, and 32 degrees C, 52% of individuals righted themselves in similar to 4 s. At these temperatures, most individuals either rolled quickly or remained inactive for the entire 10-min test period. When we examined rollover speed in the cooler (night) and warmer (daytime) periods, individuals subjected to the three regimes of temperature variation differed: woodlice acclimated to delta = 8 roll over very fast when temperature (T) is low and very slowly when T is high; woodlice acclimated to delta = 3 roll over fairly fast when T is low and somewhat slowly when T is high; and woodlice acclimated to delta = 0 roll over quite quickly when T is low and quite slowly when T is high. However, the higher and lower speeds at different regimes neutralized each other so that average rollover speed over the course of a whole day did not depend on the size of the daily fluctuation. Conclusions: The impact of temperature variability must be taken into consideration. Behavioural responses that are seemingly costly in the very short term may be beneficial in the longer term.","Temperature Variability and Thermal Performance in Ectotherms: Acclimation, Behaviour, and Experimental Considerations.",selected,NA,selected
Carroll_2018_JOOFTHBI,"Carroll, R. L. and Davis, Craig A. and Fuhlendorf, Samuel D. and Elmore, R. Dwayne and DuRant, Sarah E. and Carroll, J. Matthew",Avian parental behavior and nest success influenced by temperature fluctuations,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.03.020,2018,"Behavioral adjustments and parental decisions during reproduction can influence the thermal environment at nests, yet our understanding into how environmental factors (i.e., temperature and precipitation) constrain an adults ability to balance self-maintenance and incubation demands is limited. To expand our understanding of how species respond to environmental factors, we investigated the reproductive ecology of two ground-nesting species (northern bobwhite [Colinas virginianus] and scaled quail [Callipepla squamata]) in a region (i.e., the Southern Great Plains) prone to thermal variability (i.e., extreme hot and cold temperatures). Specifically, our objective was to examine how temperature and precipitation directly influenced behavioral adjustments (i.e., off-bout duration, frequency, and nest attentiveness) and parental decisions (i.e., nest site selection), and indirectly influenced nest fate. Overall, we found that parents chose to nest in sites that were significantly cooler in temperature than randomly selected sites, and parents further altered the thermal environment experienced by embryos through incubation behavior. Daily precipitation and average ambient temperature and/or their interaction best predicted incubation behaviors, yet each species differed in the timing (i.e., morning vs. evening), frequency, and duration of off-bouts. Furthermore, successful nests were associated with cooler nest site temperatures for bobwhite and warmer nest site temperatures for scaled quail. Our finding of relatively stable (35.5 degrees C) incubation temperature for developing embryos of both species suggests that ground-nesting birds are able to regulate microclimate through behavioral adjustments and parental decisions even under extreme temperature fluctuations. Nevertheless, the ability for a ground-nesting species to effectively modify behavioral adjustments and decisions may be altered during long periods of enhanced physiological and environmental stress.",Avian Parental Behavior and Nest Success Influenced by Temperature Fluctuations.,selected,NA,selected
Cavieres_2018_ECOANDEVO,"Cavieres, Grisel and Bogdanovich, Jose M. and Toledo, Paloma and Bozinovic, Francisco",Fluctuating thermal environments and time-dependent effects on fruit fly egg-hatching performance,ECOLOGY AND EVOLUTION,10.1002/ece3.4220,2018,"Organismal performance in a changing environment is dependent on temporal patterns and duration of exposure to thermal variability. We experimentally assessed the time-dependent effects of thermal variability (i.e., patterns of thermal exposure) on the hatching performance of Drosophila melanogaster. Flies were collected in central Chile and maintained for four generations in laboratory conditions. Fourth generation eggs were acclimated to different thermal fluctuation cycles until hatching occurred. Our results show that the frequency of extreme thermal events has a significant effect on hatching success. Eggs exposed to 24hr cycles of thermal fluctuation had a higher proportion of eggs that hatched than those acclimated to shorter (6 and 12hr) and longer cycles (48hr). Furthermore, eggs subjected to frequent thermal fluctuations hatched earlier than those acclimated to less frequent thermal fluctuations. Overall, we show that, egg-to-adult viability is dependent on the pattern of thermal fluctuations experienced during ontogeny; thus, the pattern of thermal fluctuation experienced by flies has a significant and until now unappreciated impact on fitness.",Fluctuating Thermal Environments and Time-Dependent Effects on Fruit Fly Egg-Hatching Performance.,selected,NA,selected
Cavieres_2020_ECOANDEVO,"Cavieres, Grisel and Rezende, Enrico L. and Clavijo-Baquet, Sabrina and Alruiz, Jose M. and Rivera-Rebella, Carla and Boher, Francisca and Bozinovic, Francisco",Rapid within- and transgenerational changes in thermal tolerance and fitness in variable thermal landscapes,ECOLOGY AND EVOLUTION,10.1002/ece3.6496,2020,"Phenotypic plasticity may increase the performance and fitness and allow organisms to cope with variable environmental conditions. We studied within-generation plasticity and transgenerational effects of thermal conditions on temperature tolerance and demographic parameters inDrosophila melanogaster. We employed a fully factorial design, in which both parental (P) and offspring generations (F1) were reared in a constant or a variable thermal environment. Thermal variability during ontogeny increased heat tolerance in P, but with demographic cost as this treatment resulted in substantially lower survival, fecundity, and net reproductive rate. The adverse effects of thermal variability (V) on demographic parameters were less drastic in flies from the F1, which exhibited higher net reproductive rates than their parents. These compensatory responses could not totally overcome the challenges of the thermally variable regime, contrasting with the offspring of flies raised in a constant temperature (C) that showed no reduction in fitness with thermal variation. Thus, the parental thermal environment had effects on thermal tolerance and demographic parameters in fruit fly. These results demonstrate how transgenerational effects of environmental conditions on heat tolerance, as well as their potential costs on other fitness components, can have a major impact on populations' resilience to warming temperatures and more frequent thermal extremes.",Rapid Within- And Transgenerational Changes in Thermal Tolerance and Fitness in Variable Thermal Landscapes.,selected,NA,selected
Cvitkovic_2011_FRESENVIBULL,"Cvitkovic, Ivan and Despalatovic, Marija and Grubelic, Ivana and Bogner, Danijela and Nikolic, Vedran and Zuljevic, Ante and Antolic, Boris and Travizi, Ana","SPATIO-TEMPORAL VARIABILITY OF MEIOFAUNA COMMUNITY STRUCTURE IN ABANDONED SALINA OF VELIKE SOLINE AND ADJACENT AREA (MEDITERRANEAN, ADRIATIC SEA)",FRESENIUS ENVIRONMENTAL BULLETIN,NA,2011,"The present study was carried out in the wider area of Velike So line, abandoned sauna located on the eastern shore of the Adriatic Sea (Northern Dalmatia, Croatia). Samples were collected at six stations from February 2005 to January 2006. To characterize the habitat, physicochemical parameters of water and sediment (temperature, salinity, sediment grain size and organic matter content) were measured on a monthly basis. In order to assess spatio-temporal distribution of meiofauna, samples were collected quarterly in all four seasons. The paper provides a data on intra-annual variability of abiotic factors relevant for characterization of Velike So line habitat, as well as data on the seasonal variability of associated meiofauna. The structure and dynamics of meiofauna in the environment of high temperature and salinity fluctuations has been studied in relationship with spatio-temporal variability of relevant environmental factors and results were compared with those obtained from marine stations in Podsolarska bay and the communication channel that connects sauna with a nearby sea. A total of 12 taxa were found. The average annual density values of meiofauna range from 142.5 to 1740.8 individuals per 10 cm(2). A negative correlation between total meiofaunal density and temperature and salinity fluctuations has been noted. The distribution pattern of the meiofauna community is governed by a different set of environmental variables in particular seasons and it is discussed in detail.","Spatio-Temporal Variability of Meiofauna Community Structure in Abandoned Salina of Velike Soline and Adjacent Area (Mediterranean, Adriatic Sea)",selected,NA,selected
Derycke_2015_Figs,"Derycke, Sofie and Santos, Giovanni A P Dos and Valdes, Yirina and Rigaux, Annelien and Meester, Nele De and Moens, Tom",Statistical results of the effect of temperature regime on assemblage dynamics,Figshare,http://dx.doi.org/10.1371/journal.pone.0131625.t004,2015,"Results of the two 3-way PERMANOVA analyses on interspecific interactions (independent factors: temperature (constant vs. fluctuating), interspecific interactions (fictitious vs. real populations) and time), dependent factors: adult and juvenile assemblage compositions)) for experiments with two species (D vs. FiD) and three species (T vs. FiT). Level of confidence = 95%. Interspec.int. = interspecific interactions; temp. = temperature; p = statistical p value; F = F statistic.Statistical results of the effect of temperature regime on assemblage dynamics.",Statistical Results of the Effect of Temperature Regime on Assemblage Dynamics.,selected,NA,selected
Derycke_2015_Figs_1,"Derycke, Sofie and Santos, Giovanni A P Dos and Valdes, Yirina and Rigaux, Annelien and Meester, Nele De and Moens, Tom",Statistical results of the effect of temperature regime on fitness,Figshare,http://dx.doi.org/10.1371/journal.pone.0131625.t001,2015,"Results of the within-species statistical analyses on fitness (independent factors: temperature (fluctuating vs. constant), interspecific interactions (M, D and T for Pm I and Pm IV; M and D for Pm III) and time; dependent factors: number of adults and juveniles in three cryptic species of Litoditis marina). Level of confidence = 95%. Interspec.int. = interspecific interactions; temp. = temperature; p = statistical p value; F = F statistic.Statistical results of the effect of temperature regime on fitness.",Statistical Results of the Effect of Temperature Regime on Fitness.,selected,CHECK CONCERNING,selected
Duncan_2017_JOOFEVBI,"Duncan, A. B. and Dusi, E. and Jacob, F. and Ramsayer, J. and Hochberg, M. E. and Kaltz, O.",Hot spots become cold spots: coevolution in variable temperature environments,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12985,2017,"Antagonistic coevolution between hosts and parasites is a key process in the genesis and maintenance of biological diversity. Whereas coevolutionary dynamics show distinct patterns under favourable environmental conditions, the effects of more realistic, variable conditions are largely unknown. We investigated the impact of a fluctuating environment on antagonistic coevolution in experimental microcosms of Pseudomonas fluorescens SBW25 and lytic phage SBWF2. High-frequency temperature fluctuations caused no deviations from typical coevolutionary arms race dynamics. However, coevolution was stalled during periods of high temperature under intermediate-and low-frequency fluctuations, generating temporary coevolutionary cold spots. Temperature variation affected population density, providing evidence that eco-evolutionary feedbacks act through variable bacteria-phage encounter rates. Our study shows that environmental fluctuations can drive antagonistic species interactions into and out of coevolutionary cold and hot spots. Whether coevolution persists or stalls depends on the frequency of change and the environmental optima of both interacting players.",Hot Spots Become Cold Spots: Coevolution in Variable Temperature Environments.,selected,NA,selected
Dur_2007_HYDR,"Dur, G. and Schmitt, F. G. and Souissi, S.",Analysis of high frequency temperature time series in the Seine estuary from the Marel autonomous monitoring buoy,HYDROBIOLOGIA,10.1007/s10750-007-0652-3,2007,"In the marine sciences, continuous monitoring systems have been regarded as very useful tools to provide continuous high frequency measurements of many parameters. We analyse here a high frequency time series of temperature measurements recorded every 10 min between 1997 and 2004 in the macro tidal Seine estuary ( France) by a Marel buoy, an automatic monitoring network for littoral environment. We have adapted multi- scale data analysis methods to deal with the many missing values present in the time series. A power spectral density analysis is performed over time scales spanning 5 decades, from 20 min to more than 7 years. A scale invariant behaviour of the form E(f) approximate to f (-beta) with beta = 2.2 is revealed for scales below 5 h. Over this scaling range, we have performed structure functions analysis, and shown that the Seine river temperature data exhibit turbulent- like intermittent properties, with multifractal statistics. The multifractal exponents obtained possess some similarities with passive scalar turbulence results.",Analysis of High Frequency Temperature Time Series in the Seine Estuary from the Marel Autonomous Monitoring Buoy.,selected,power spectra--,selected
Estay_2011_POPUECOL,"Estay, Sergio A. and Clavijo-Baquet, Sabrina and Lima, Mauricio and Bozinovic, Francisco",Beyond average: an experimental test of temperature variability on the population dynamics of Tribolium confusum,POPULATION ECOLOGY,10.1007/s10144-010-0216-7,2011,"The relationship between ectotherm ecology and climatic conditions has been mainly evaluated in terms of average conditions. Average temperature is the more common climatic variable used in physiological and population studies, and its effect on individual and population-level processes is well understood. However, the intrinsic variability of thermal conditions calls attention to the potential effects that this variability could have in ecological systems. Regarding this point, two hypotheses are proposed. From the allocation principle, it may be inferred that if temperature variability is high enough to induce stress in the organisms, then this extra-cost should reduce the energetic budget for reproduction, which will be reflected in population parameters. Moreover, a mathematical property of non-linear functions, Jensen's inequality, indicates that, in concave functions, like the temperature-reproduction performance function, variability reduces the expected value of the output variable, and again modifies population parameters. To test these hypotheses, experimental cultures of Tribolium confusum under two different thermal variability regimens were carried out. With these data, we fitted a simple population dynamics model to evaluate the predictions of our hypothesis. The results show that thermal variability reduces the maximum reproductive rate of the population but no other parameters such as carrying capacity or the nonlinear factor in a nonlinear version of the Ricker model, which confirms our hypotheses. This result has important consequences, such as the paradoxical increase in population variability under a decrease in thermal variability and the necessary incorporation of climatic variability to evaluate the net effect of climate change on the dynamics of natural populations.",Beyond Average: An Experimental Test of Temperature Variability on the Population Dynamics of Tribolium Confusum.,selected,NA,selected
