label,author,title,journal,doi,year,abstract,issn,citation,screened_titles,notes,screened_abstracts,downloaded,extractable,figures,organization,notes
Massey_2019_JOOFEXBI,"Massey, Melanie D. and Holt, Sarah M. and Brooks, Ronald J. and Rollinson, Njal",Measurement and modelling of primary sex ratios for species with temperature-dependent sex determination,JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.190215,2019,"For many oviparous animals, incubation temperature influences sex through temperature-dependent sex determination (TSD). Although climate change may skew sex ratios in species with TSD, few available methods predict sex under natural conditions, fewer still are based on mechanistic hypotheses of development, and field tests of existing methods are rare. We propose a new approach that calculates the probability of masculinization (PM) in natural nests. This approach subsumes the mechanistic hypotheses describing the outcome of TSD, by integrating embryonic development with the temperature-dependent reaction norm for sex determination. Further, we modify a commonly used method of sex ratio estimation, the constant temperature equivalent (CTE), to provide quantitative estimates of sex ratios. We test our new approaches using snapping turtles (Chelydra serpentina). We experimentally manipulated nests in the field, and found that the PM method is better supported than the modified CTE, explaining 69% of the variation in sex ratios across 27 semi-natural nests. Next, we used the PM method to predict variation in sex ratios across 14 natural nests over 2 years, explaining 67% of the variation. We suggest that the PM approach is effective and broadly applicable to species with TSD, particularly for forecasting how sex ratios may respond to climate change. Interestingly, we also found that the modified CTE explained up to 64% of variation in sex ratios in a Type II TSD species, suggesting that our modifications will be useful for future research. Finally, our data suggest that the Algonquin Park population of snapping turtles possesses resilience to biased sex ratios under climate change.",0022-0949,Measurement and Modelling of Primary Sex Ratios for Species with Temperature-Dependent Sex Determination.,selected,background,selected,y,,,,
Matsubara_2018_JOOFEXBO,"Matsubara, Shizue",Growing plants in fluctuating environments: why bother?,JOURNAL OF EXPERIMENTAL BOTANY,10.1093/jxb/ery312,2018,"Light and temperature are highly dynamic environmental factors, but plant science research frequently ignores this variation to allow reproducible growth-chamber experiments. Using Arabidopsis and looking at changes over a 24 h period, Annunziata et al. (2018) scrutinized changes in metabolites and gene expression of circadian oscillator components under naturally varying light and temperature. They show that fluctuations modify systems organization and outputs, and propose that diel metabolism is adapted to covariation of light and temperature.",0022-0957,Growing Plants in Fluctuating Environments: Why Bother?,selected,background,selected,y,,,,
Mitz_2017_JOOFTHBI,"Mitz, Charles and Thome, Christopher and Thompson, Jeroen and Manzon, Richard G. and Wilson, Joanna Y. and Boreham, Douglas R.",A method to transform a variable thermal regime to a physiologically equivalent effective temperature,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2016.12.011,2017,"We present a method to characterize variable thermal regimes in terms of an equivalent or effective temperature. Our method is based on a first order exponential transformation of a time series of temperatures to yield an exponentially-weighted mean temperature characteristic of the regime and independent of any particular species or end point. The resulting effective temperature or exponential mean, 7, offers an improved method for summarizing mean temperature where biological response scales exponentially to temperature. The exponential mean allows growth under varying thermal regimes to be predicted using constant temperature models and offers a compact descriptor communicating the growth capacity of variable thermal regimes. The method combines mathematical simplicity with translatability to different Q10 values without recourse to the underlining time series data. It also provides a quantitative baseline that improves on mean temperature by incorporating the effect of Jensen's inequality and it remains applicable at near zero temperatures where thermal sums lack accuracy.",0306-4565,a Method to Transform a Variable Thermal Regime to a Physiologically Equivalent Effective Temperature.,selected,background,selected,y,,,,
Paaijmans_2013_GLOBCHANBIOL,"Paaijmans, Krijn P. and Heinig, Rebecca L. and Seliga, Rebecca A. and Blanford, Justine I. and Blanford, Simon and Murdock, Courtney C. and Thomas, Matthew B.",Temperature variation makes ectotherms more sensitive to climate change,GLOBAL CHANGE BIOLOGY,10.1111/gcb.12240,2013,"Ectotherms are considered to be particularly vulnerable to climate warming. Descriptions of habitat temperatures and predicted changes in climate usually consider mean monthly, seasonal or annual conditions. Ectotherms, however, do not simply experience mean conditions, but are exposed to daily fluctuations in habitat temperatures. Here, we highlight how temperature fluctuation can generate realized' thermal reaction (fitness) norms that differ from the fundamental' norms derived under standard constant temperatures. Using a mosquito as a model organism, we find that temperature fluctuation reduces rate processes such as development under warm conditions, increases processes under cool conditions, and reduces both the optimum and the critical maximum temperature. Generalizing these effects for a range of terrestrial insects reveals that prevailing daily fluctuations in temperature should alter the sensitivity of species to climate warming by reducing thermal safety margins'. Such effects of daily temperature dynamics have generally been ignored in the climate change literature.",1354-1013,Temperature Variation Makes Ectotherms more Sensitive to Climate Change.,selected,background,selected,y,,,,
Rajakaruna_2017_JOOFTHBI,"Rajakaruna, Harshana and Lewis, Mark",Temperature cycles affect colonization potential of calanoid copepods,JOURNAL OF THEORETICAL BIOLOGY,10.1016/j.jtbi.2017.01.044,2017,"Marine calanoid copepods colonize new habitats, and some become invasive. Their fitness, measured by intrinsic growth rate and net reproductive rate, is partially driven by biochemical processes. Thus, it is a function of ambient temperature. Biochemical processes may not be approximated well by yearly mean temperature alone when temperature cycles yearly, largely. Higher order moments may also be important. The amplitude of yearly fluctuations of monthly and seasonal sea temperatures varies dramatically across the northern temperate regions. Thus, they can impact the fitness, thereby the colonization potential of copepods migrating across such region. To investigate this, we derive approximate metrics of periodic (yearly) fitness: the yearly intrinsic growth rate, and a weighted net reproductive rate. We use them to measure the persistence and the growth of an Allee-effect free, stage-structured, fast-maturing, small population of invasive copepods that reproduces year-round in habitats with yearly temperature cycles. We show that the yearly fitness increases substantially when a population is introduced from a habitat with large amplitude to that with small amplitude yearly fluctuating temperatures, given that their mean temperatures and other environmental and ecological factors are constant. The detected range-expansion of the modeled species matches the potential fitness gradient predicted by the metrics. The study leads to the question whether the gradient of the amplitudes of temperature between habitats with similar yearly mean temperatures impacts a class of fast-maturating calanoid copepods, colonizing new habitats, and becoming invasive.",0022-5193,Temperature Cycles Affect Colonization Potential of Calanoid Copepods.,selected,background,selected,y,,,,
Rollinson_2018_JOOFTHBI,"Rollinson, Njal and Holt, Sarah M. and Massey, Melanie D. and Holt, Richard C. and Nancekivell, E. Graham and Brooks, Ronald J.",A new method of estimating thermal performance of embryonic development rate yields accurate prediction of embryonic age in wild reptile nests,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.03.008,2018,"Temperature has a strong effect on ectotherm development rate. It is therefore possible to construct predictive models of development that rely solely on temperature, which have applications in a range of biological fields. Here, we leverage a reference series of development stages for embryos of the turtle Chelydra serpentina, which was described at a constant temperature of 20 degrees C. The reference series acts to map each distinct developmental stage onto embryonic age (in days) at 20 degrees C. By extension, an embryo taken from any given incubation environment, once staged, can be assigned an equivalent age at 20 degrees C. We call this concept ""Equivalent Development"", as it maps the development stage of an embryo incubated at a given temperature to its equivalent age at a reference temperature. In the laboratory, we used the concept of Equivalent Development to estimate development rate of embryos of C. serpentina across a series of constant temperatures. Using these estimates of development rate, we created a thermal performance curve measured in units of Equivalent Development (TPCED). We then used the TPCED to predict developmental stage of embryos in several natural turtle nests across six years. We found that 85% of the variation of development stage in natural nests could be explained. Further, we compared the predictive accuracy of the model based on the TPCED to the predictive accuracy of a degree-day model, where development is assumed to be linearly related to temperature and the amount of accumulated heat is summed over time. Information theory suggested that the model based on the TPCED better describes variation in developmental stage in wild nests than the degree-day model. We suggest the concept of Equivalent Development has several strengths and can be broadly applied. In particular, studies on temperature-dependent sex determination may be facilitated by the concept of Equivalent Development, as development age maps directly onto the developmental series of the organism, allowing critical periods of sex determination to be delineated without invasive sampling, even under fluctuating temperature.",0306-4565,a New Method of Estimating Thermal Performance of Embryonic Development Rate Yields Accurate Prediction of Embryonic Age in Wild Reptile Nests.,selected,background,selected,y,,,,
Shine_2018_PHYS,"Shine, Richard and Du, Wei-Guo",How frequent and important is behavioral thermoregulation by embryonic reptiles?,PHYSIOLOGY,10.1002/jez.2153,2018,"The debate about behavioral thermoregulation inside reptile eggs centers on the frequency (and hence, biological significance) of the phenomenon, not about its validity. Both sides of the debate agree that large eggs in shallow nests laid in sun-exposed soil will experience clines in mean temperature and (especially) diel thermal variance; that embryos in the middle phase of development have the ability to reposition themselves, and room to do so; and that small changes in developmental temperatures can influence offspring fitness. Equally, all protagonists agree that thermal clines will be too low in some other kinds of nests, and that embryonic repositioning is impossible very early and very late in development. Based on an array of other fitness-enhancing behaviors exhibited by tetrapod embryos, and general principles for recognizing adaptation, we conclude that behavioral thermoregulation inside the egg likely is adaptive in some but not all reptile species. We identify productive directions for empirical research to resolve points of contention.",2471-5638,How Frequent and Important is Behavioral Thermoregulation by Embryonic Reptiles?,selected,background,selected,y,,,,
Vico_2019_PLACELANDENV,"Vico, Giulia and Way, Danielle A. and Hurry, Vaughan and Manzoni, Stefano",Can leaf net photosynthesis acclimate to rising and more variable temperatures?,PLANT CELL AND ENVIRONMENT,10.1111/pce.13525,2019,"Under future climates, leaf temperature (T-l) will be higher and more variable. This will affect plant carbon (C) balance because photosynthesis and respiration both respond to short-term (subdaily) fluctuations in T-l and acclimate in the longer term (days to months). This study asks the question: To what extent can the potential and speed of photosynthetic acclimation buffer leaf C gain from rising and increasing variable T-l? We quantified how increases in the mean and variability of growth temperature affect leaf performance (mean net CO2 assimilation rates, A(net); its variability; and time under near-optimal photosynthetic conditions), as mediated by thermal acclimation. To this aim, the probability distribution of A(net) was obtained by combining a probabilistic description of short- and long-term changes in T-l with data on A(net) responses to these changes, encompassing 75 genera and 111 species, including both C3 and C4 species. Our results show that (a) expected increases in T-l variability will decrease mean A(net) and increase its variability, whereas the effects of higher mean T-l depend on species and initial T-l, and (b) acclimation reduces the effects of leaf warming, maintaining A(net) at >80% of its maximum under most thermal regimes.",0140-7791,can Leaf Net Photosynthesis Acclimate to Rising and more Variable Temperatures?,selected,background modelling,selected,y,,,,
Zidon_2016_ECOLAPPL,"Zidon, Royi and Tsueda, Hirotsugu and Morin, Efrat and Morin, Shai",Projecting pest population dynamics under global warming: the combined effect of inter- and intra-annual variations,ECOLOGICAL APPLICATIONS,10.1890/15-1045,2016,"The typical short generation length of insects makes their population dynamics highly sensitive not only to mean annual temperatures but also to their intra-annual variations. To consider the combined effect of both thermal factors under global warming, we propose a modeling framework that links general circulation models (GCMs) with a stochastic weather generator and population dynamics models to predict species population responses to inter-and intra-annual temperature changes. This framework was utilized to explore future changes in populations of Bemisia tabaci, an invasive insect pest-species that affects multiple agricultural systems in the Mediterranean region. We considered three locations representing different pest status and climatic conditions: Montpellier (France), Seville (Spain), and Beit-Jamal (Israel). We produced ensembles of local daily temperature realizations representing current and future (mid-21st century) climatic conditions under two emission scenarios for the three locations. Our simulations predicted a significant increase in the average number of annual generations and in population size, and a significant lengthening of the growing season in all three locations. A negative effect was found only in Seville for the summer season, where future temperatures lead to a reduction in population size. High variability in population size was observed between years with similar annual mean temperatures, suggesting a strong effect of intra-annual temperature variation. Critical periods were from late spring to late summer in Montpellier and from late winter to early summer in Seville and Beit-Jamal. Although our analysis suggested that earlier seasonal activity does not necessarily lead to increased populations load unless an additional generation is produced, it is highly likely that the insect will become a significant pest of open-fields at Mediterranean latitudes above 40 degrees during the next 50 years. Our simulations also implied that current predictions based on mean temperature anomalies are relatively conservative and it is better to apply stochastic tools to resolve complex responses to climate change while taking natural variability into account. In summary, we propose a modeling framework capable of determining distinct intra-annual temperature patterns leading to large or small population sizes, for pest risk assessment and management planning of both natural and agricultural ecosystems.",1051-0761,Projecting Pest Population Dynamics under Global Warming: The Combined Effect of Inter- And Intra-Annual Variations.,selected,background modelling,selected,y,,,,
Warner_2011_PROFTHROSOB.SC,"Warner, Daniel A. and Shine, Richard",Interactions among thermal parameters determine offspring sex under temperature-dependent sex determination,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2010.1040,2011,"In many animals, temperatures experienced by developing embryos determine offspring sex (e.g. temperature-dependent sex determination, TSD), but most studies focus strictly on the effects of mean temperature, with little emphasis on the importance of thermal fluctuations. In the jacky dragon (Amphibolurus muricatus), an Australian lizard with TSD, data from nests in the field demonstrate that offspring sex ratios are predictable from thermal fluctuations but not from mean nest temperatures. To clarify this paradox, we incubated eggs in a factorial experiment with two levels of mean temperature and three levels of diel fluctuation. We show that offspring sex is determined by an interaction between these critical thermal parameters. Intriguingly, because these two thermal descriptors shift in opposing directions throughout the incubation season, this interactive effect inhibits seasonal shifts in sex ratio. Hence, our results suggest that TSD can yield offspring sex ratios that resemble those produced under genotypic sex-determining systems. These findings raise important considerations for understanding the diversity of TSD reaction norms, for designing experiments that evaluate the evolutionary significance of TSD, and for predicting sex ratios under past and future climate change scenarios.",0962-8452,Interactions among Thermal Parameters Determine Offspring Sex under Temperature-Dependent Sex Determination.,selected,background?,selected,y,,,,
Lawson_2015_ECOLLETT,"Lawson, Callum R. and Vindenes, Yngvild and Bailey, Liam and van de Pol, Martijn",Environmental variation and population responses to global change,ECOLOGY LETTERS,10.1111/ele.12437,2015,"Species' responses to environmental changes such as global warming are affected not only by trends in mean conditions, but also by natural and human-induced environmental fluctuations. Methods are needed to predict how such environmental variation affects ecological and evolutionary processes, in order to design effective strategies to conserve biodiversity under global change. Here, we review recent theoretical and empirical studies to assess: (1) how populations respond to changes in environmental variance, and (2) how environmental variance affects population responses to changes in mean conditions. Contrary to frequent claims, empirical studies show that increases in environmental variance can increase as well as decrease long-term population growth rates. Moreover, environmental variance can alter and even reverse the effects of changes in the mean environment, such that even if environmental variance remains constant, omitting it from population models compromises their ability to predict species' responses to changes in mean conditions. Drawing on theory relating these effects of environmental variance to the curvatures of population growth responses to the environment, we outline how species' traits such as phylogenetic history and body mass could be used to predict their responses to global change under future environmental variability.",1461-023X,Environmental Variation and Population Responses to Global Change.,selected,BIG background,selected,y,,,,
